TWEET,USER_ID,TWEET_ID,TWT_POST_DT,USER_NM,USER_ACCT,FOLLOWER_CNT,FRIENDS_CNT,LOCATION,ACCT_CREATE_DT,GEO_ENABLED,USER_URL,RETWEET_CNT,COMPSENTIMENT,POSSENTIMENT,NEGSENTIMENT,NEUSENTIMENT,SENTIMENT_OA,POSCNT,NEGCNT,BLOBPOL,BLOBSUB,COORDINATES,VERIFIED_USER,TOTAL POSTS,IS REPLY,REPLY TO,HASHTAGS
"The architect of Obama care wrote Kamala’s plan.  Really reassuring, eh? #DemDebate2",391687790,1156727844317343746,08/01/2019 00:46,Justa Masso Cells,CyKoSyS,1628,2055,,10/15/2011 23:29,True,,0,0.7346,0.382,0.0,0.618,Positive,1,0,20.0,20.0,,False,930,,,['DemDebate2']
"If, and that's a big if, @CoryBooker gets the Democratic nomination he'll accuse @CNN @MSNBC and @FoxNews of pitting him against @realDonaldTrump in the debates.",774731606846242816,1156727844208369666,08/01/2019 00:46,JimFromVa,JimShifflett819,110,231,"Virginia, USA",09/10/2016 22:09,False,,0,-0.2023,0.0,0.073,0.927,Negative,0,1,0.0,10.0,,False,3497,,,
"When are the moderators going to start to call Mr. Yang as ""the forgotten Asian""? #DemDebate #DemDebate2 #KAG2020",1140663982472290305,1156727844376125446,08/01/2019 00:46,All Out Conservative ,AllOutConserva2,147,231,At the core of Liberty,06/17/2019 16:54,False,,0,-0.2263,0.0,0.101,0.899,Negative,0,1,0.0,0.0,,False,1973,,,"['DemDebate', 'DemDebate2', 'KAG2020']"
"Stop propping up the myth that there's even a CHOICE in this #M4A debate. Healthcare should NEVER be tied to employment, no ONE should be getting collection calls for copays their insurance won't cover, and corporations should get their hands OFF my plan. #DemDebate",2477240685,1156727844166361088,08/01/2019 00:46,Jaslin Kaur,jaslinkaur217,208,232,"New York, NY",04/11/2014 21:53,True,,0,-0.5267,0.0,0.097,0.903,Negative,0,1,0.0,0.0,,False,641,,,['M4A']
Can we talk about rent next? #demDebate https://t.co/ZZpqRpwFE2,983443342892634112,1156727843604316162,08/01/2019 00:46,Cody Uhing,CodyUhing,633,678,NE - MO - DC,04/09/2018 20:35,True,https://open.spotify.com/user/12102208988/playlist/4QwnZa1G1CzBH5RYOIGeIs?si=Ct-_3EF8TnKhpKTLtv6jYw,0,0.0,0.0,0.0,1.0,Neutral,0,0,0.0,0.0,,False,1120,,,['demDebate']
"Yep. But even more irritating to me, in tonight's debate they are attacking each other when they should be attacking DJT and the @GOP and their policies!!",2857558005,1156727844988493829,08/01/2019 00:46,MysTery,2legged_dear55,1812,3192,United States,11/02/2014 20:36,False,,0,-0.9249,0.043,0.346,0.611,Negative,0,1,-3.177083333333334,55.833333333333336,,False,13621,,,
"Do you think if I paid Bennet enough money he’d say “durr, stay out of Riverdale” in his closing speech? 

#DemDebate #DemocraticDebate #DemDebate2",1376246070,1156727845240090624,08/01/2019 00:46,Alan Kase,Alan_Kase,79,56,"You Know, Wherever",04/24/2013 05:38,False,https://www.youtube.com/c/AlanKase,0,0.0,0.0,0.0,1.0,Neutral,0,0,0.0,50.0,,False,6646,,,
"So the government knows how to build an insurance plan?  Do they understand loss ratios and what makes for a good Insurance plan?  Yes, we need to reform how we look at Insurance but we need to look at our entire health (weight, exercise, diet) etc.  #DemDebate",1611021986,1156727845177188353,08/01/2019 00:46,Terri Geis,TGeis73,273,1416,,07/21/2013 17:42,True,,0,0.3632,0.085,0.034,0.881,Positive,1,0,35.0,61.25000000000001,,False,17222,,,
"#demdebate Donate to @BernieSanders everytime the corporate democrat talks @gop talking point.
@JoeBiden should have run under gop flag.",2512824441,1156727845210771456,08/01/2019 00:46,#MedicareForAll ,shrewst,2833,4119,United States,04/27/2014 15:04,False,,0,0.0,0.0,0.0,1.0,Neutral,0,0,0.0,0.0,,False,74928,,,['demdebate']
"""cameras are on me, jump into the stump speech!"" - Andrew yang I guess #DemDebate #StoneDNC",2340950371,1156727845864919040,08/01/2019 00:46,Baron Trump Is An Anchor Baby,KriskoDisko,179,228,"Tucson, AZ",02/12/2014 21:15,True,,0,0.0,0.0,0.0,1.0,Neutral,0,0,0.0,0.0,,False,4864,,,"['DemDebate', 'StoneDNC']"
"Running on racism can win you an election and running on universal healthcare can lose it, a legit concern. 

This is our bleak reality right now 
#DemDebate",38068524,1156727845961502720,08/01/2019 00:46,Steph,WVbluedot,111,213,,05/06/2009 00:44,True,,0,-0.4588,0.113,0.202,0.685,Negative,0,1,2.1428571428571437,48.39285714285714,,False,1092,,,
@RonPlacone Rank your choices in the #DemDebate like they will in the Iowa Caucus with #RCV. https://t.co/RZtO5un4QJ,963797775400910848,1156727846380830720,08/01/2019 00:46,Ranked Choice Voting for Colorado,RCVforColorado,324,209,"Colorado, USA",02/14/2018 15:31,False,http://RCVforColorado.org,0,0.3612,0.135,0.0,0.865,Positive,1,0,-80.0,90.0,,False,252,1156726436310372352,RonPlacone,"['DemDebate', 'RCV']"
"This is an idiotic format for something as complex as health care. 

Why won’t anyone explain WHY medical care is so expensive here compared to other countries?? #DemDebate https://t.co/EXjAaQjC5T",1043214263962091520,1156727845978140672,08/01/2019 00:46,BKactual,BKactualPodcast,1424,106,"San Diego, CA",09/21/2018 19:03,False,https://www.patreon.com/BKactual,0,0.4871,0.186,0.099,0.715,Positive,1,0,-31.83333333333333,46.16666666666667,,False,3662,,,
"Only #JoeBiden could manage to be simultaneously condescending and affable.

#DemDebate #DemocraticDebate #DemocraticDebate2020",38016027,1156727846603317248,08/01/2019 00:46,Cloddy ,bklyn_hayshun,293,839,,05/05/2009 20:49,True,,0,0.0,0.0,0.0,1.0,Neutral,0,0,40.0,100.0,,False,5028,,,"['JoeBiden', 'DemDebate', 'DemocraticDebate']"
When I told my wife I was running for president she asked me one question: why. #DemDebate,817408792187043841,1156727846926110720,08/01/2019 00:46,Fleetwood Snacc,clockworkcrypt,70,123,,01/06/2017 16:33,False,,0,0.0,0.0,0.0,1.0,Neutral,0,0,0.0,0.0,,False,1165,,,['DemDebate']
"#DemDebate they are so lost within reality that isn’t even funny. 

I am with @realDonaldTrump for 2020 #Trump2020 #MAGA2020",887164003,1156727848436228099,08/01/2019 00:46, #GoBolts ,MCPennyStock,594,763,"New Port Richey, FL",10/17/2012 16:40,True,,0,-0.0236,0.132,0.137,0.731,Neutral,0,0,25.0,100.0,,False,1741,,,"['DemDebate', 'Trump2020', 'MAGA2020']"
Stop. With. The anecdotes. All y’all! #DemDebate2 #DemocraticDebate #DemDebate,1040368057682677760,1156727848494882817,08/01/2019 00:46,replysome,replysome1,6,153,,09/13/2018 22:34,False,,0,-0.3595,0.0,0.238,0.762,Negative,0,1,0.0,0.0,,False,88,,,"['DemDebate2', 'DemocraticDebate', 'DemDebate']"
"@AndrewYang dropping logic!
#DemDebate2",35391316,1156727848692080642,08/01/2019 00:46,Brianna Biri,bri_annes,36,27,,04/26/2009 03:32,False,,0,0.0,0.0,0.0,1.0,Neutral,0,0,0.0,0.0,,False,543,,AndrewYang,['DemDebate2']
#DemDebate2 #KamalaMisleading on health care reform ...bossy rhetoric noted...her inner cop has arrived. Public option is BS neoliberal playbook.,264251826,1156727848620699648,08/01/2019 00:46,Susan Britton-Seyler,justrighthomes,498,904,Greater Philadelphia PA,03/11/2011 16:00,True,,0,0.4939,0.151,0.0,0.849,Positive,1,0,0.0,11.666666666666666,,False,8275,,,"['DemDebate2', 'KamalaMisleading']"
"lol Andrew Yang rn ""WHO WILL THINK OF THE PRESIDENTIAL CANDIDATES??"" #DemDebate",3290152525,1156727848977219584,08/01/2019 00:46,Saurabh Sharma,ssharmaTX,1012,1912,Temporarily Swamp-Ridden,07/24/2015 15:04,True,,0,0.4871,0.223,0.0,0.777,Positive,1,0,80.0,70.0,,False,7207,,,['DemDebate']
"A plan to improve mental health would be a big upgrade on suffocating them.
#DemDebate",143244371,1156727849040134145,08/01/2019 00:46,Richard W. Griswold,rwgriswold,250,699,undisclosed bunker near Roc NY,05/13/2010 00:10,False,,0,0.4404,0.195,0.0,0.805,Positive,1,0,-20.0,26.666666666666668,,False,2272,,,['DemDebate']
#DemDebate I get tired of hearing about someone's personal story. FUCK THEIR STORY!,287173226,1156727849245642753,08/01/2019 00:46,Clockwork Orange,JurryTD,685,3400,Jungles of South America ,04/24/2011 13:18,False,,0,-0.8139,0.0,0.426,0.574,Negative,0,1,-26.666666666666668,53.333333333333336,,False,3530,,,['DemDebate']
Joe Biden and Sen. Bennet seem to be in a fantasy land thinking that for some reason people WANT employer health care and WANT to continue helping insurance companies generate record profits!?! Doh!#DemDebate,805621,1156727849581199360,08/01/2019 00:46,Mike Schinkel,mikeschinkel,5855,4280,"Atlanta, GA USA",03/02/2007 07:06,True,http://about.me/mikeschinkel,0,0.9051,0.329,0.0,0.671,Positive,1,0,0.0,0.0,,False,31435,,,
Thought there’d be more talk in the #DemDebate about the Greinke trade.,87071266,1156727849551839235,08/01/2019 00:46,theinterviewshow,markbazer,1645,1085,"Chicago, IL",11/03/2009 00:39,True,,0,0.0,0.0,0.0,1.0,Neutral,0,0,50.0,50.0,,False,3260,,,['DemDebate']
Does @JayInslee realize that universal mental health care would guarantee that no Democrats would be left in this country? #DemDebate2,899722727388577794,1156727850201944064,08/01/2019 00:46,Kyle Schmidbauer,kjschmidbauer,136,600,"Fair Lawn, NJ",08/21/2017 19:59,True,,0,0.4588,0.213,0.09,0.697,Positive,1,0,-3.3333333333333335,6.666666666666667,,False,1427,,,['DemDebate2']
Yang ran a business? I’m so sorry I must have missed that the last SEVENTY mentions #DemDebate,2757664236,1156727850227007488,08/01/2019 00:46,Janet Pischke,urtrulylovely,197,567,The West but with Midwest Soul,08/23/2014 04:35,True,,0,-0.4481,0.0,0.233,0.767,Negative,0,1,-25.0,53.333333333333336,,False,1093,,,['DemDebate']
"Jay Inslee: ""It is time to give people adequate mental healthcare in this country. There's no reason to distinguish between physical and mental health."" #DemDebate2",15281391,1156727850638221312,08/01/2019 00:46,TheStreet,TheStreet,670690,1222,"New York, NY",06/30/2008 19:12,True,http://www.thestreet.com,0,-0.0772,0.07,0.081,0.849,Negative,0,1,3.3333333333333326,21.904761904761905,,True,168538,,,
groyper looking ass joe biden,19986236,1156727850717908992,08/01/2019 00:46,k.sweeting,teamsweeting,603,399,,02/03/2009 17:26,True,http://kevinsweeting.com/,0,-0.5423,0.0,0.467,0.533,Negative,0,1,0.0,0.0,,False,10061,,,
"WTF? Employer based health insurance is an aspiration, a virtue? It makes employees beholden to a corporation. Screw that.
 #DemDebate #CNNDebate",40974274,1156727850713567232,08/01/2019 00:46,Michael Bersin,MBersin,316,130,,05/18/2009 21:33,True,http://blog.showmeprogress.com/,0,-0.5413,0.112,0.251,0.638,Negative,0,1,-50.0,100.0,,False,23164,,,
"If you dont offfer medical for all or understand it.... DROP THE FUCK OUT!!! 

#DROPOUTBIDEN!!! 

#DemDebate2",15034032,1156727850797371392,08/01/2019 00:46,VirgenFJ,VirgenFJ,235,323,,06/07/2008 00:29,True,,0,-0.8494,0.0,0.37,0.63,Negative,0,1,-50.0,30.0,,False,14676,,,"['DROPOUTBIDEN', 'DemDebate2']"
"@SenatorBennet is basically asking ""If you are moving out of an apartment that costs $1500/mo and into one that costs $1000 how are you going to pay $2500/mo total for rent?"" #DemDebate #MedicareForAll",195104867,1156727850780827648,08/01/2019 00:46,Edward L Cote,EdwardLCote,309,409,"Lawrence, KS",09/25/2010 20:31,False,https://www.teepublic.com/t-shirt/2277340-omg-gop,0,-0.1027,0.0,0.042,0.958,Negative,0,1,0.0,75.0,,False,18006,,SenatorBennet,
This isn’t that complicated! C’mon guys. Don’t act like single payer healthcare is some alien mystery dropped from the Twilight Zone. #DemDebate,822505244647034880,1156727852374491137,08/01/2019 00:46,Kane Seligsohn,CitizenSelig,465,565,"Los Angeles, CA",01/20/2017 18:05,False,,0,0.4199,0.117,0.0,0.883,Positive,1,0,-31.547619047619047,65.47619047619048,,False,406,,,
@AndrewYang  good point onheath insurance #DemDebate,808511427493449728,1156727852647276544,08/01/2019 00:46,LB,LisaCBerkovits,69,717,"Massachusetts, USA",12/13/2016 03:18,False,,0,0.4404,0.367,0.0,0.633,Positive,1,0,70.0,60.00000000000001,,False,1817,,AndrewYang,['DemDebate']
"@AndrewYang @realDonaldTrump @JoeBiden Why are some #Democrats just mirroring @GOP talking points? 

#DemDebate 

#DemDebate2 
#DemocraticDebate 
#Democrats 
#DemocraticDebate2020",14443412,1156727852689219584,08/01/2019 00:46,Joseph Puopolo,jpuopolo,81137,61620,,04/19/2008 14:11,True,,0,0.0,0.0,0.0,1.0,Neutral,0,0,0.0,0.0,,False,82492,1156724631337873409,jpuopolo,"['Democrats', 'DemDebate']"
"@DLoesch Forget Joe and Kamala, I want to see Tulsi and Booker in a cage match.
I bet she'd kick his ass.",766121640572940299,1156727852995403776,08/01/2019 00:46,TheOtherBill,TheOtherBill2,770,257,"Maine, USA",08/18/2016 03:56,False,,0,-0.6249,0.057,0.238,0.705,Negative,0,1,0.0,0.0,,False,13108,1156726034651406338,DLoesch,
#DemDebate @AndrewYang clarity on health care,16566112,1156727853288845313,08/01/2019 00:46,Jim Henderson,byJimHenderson,1053,393,Seattle,10/02/2008 20:26,True,http://www.jimhendersonpresents.com,0,0.7096,0.596,0.0,0.404,Positive,1,0,0.0,0.0,,False,7493,,,['DemDebate']
"Shut up, deBlasio. #DemDebate2",16478646,1156727854123626496,08/01/2019 00:46,Indi Montgomery,indimontgomery,1037,2099,,09/27/2008 01:08,False,,0,0.0,0.0,0.0,1.0,Neutral,0,0,0.0,0.0,,False,30036,,,['DemDebate2']
"When you're trying to live stream the debate to see if Tulsi gets some air time but all of your choices of web hosts are abhorrent
#DemDebate2 #CNNSucks #VoxSucks etc. https://t.co/uchNSACiB8",867051784740667394,1156727853368709120,08/01/2019 00:46,Viola,Twelfth_Night12,191,499,,05/23/2017 16:17,False,,0,-0.7684,0.0,0.158,0.842,Negative,0,1,-28.18181818181818,65.0,,False,4213,,,
"Oops. Looks like folks are using the #DemDebate hashtag.

#LibrarianFail https://t.co/CD8CKFIBLm",283889089,1156727853439954945,08/01/2019 00:46,David,happy_skeptic,552,717,,04/18/2011 06:27,True,https://muirnin.wordpress.com,0,0.3612,0.2,0.0,0.8,Positive,1,0,0.0,0.0,,False,11673,,,"['DemDebate', 'LibrarianFail']"
