TWT_POST_DT,POSSENTIMENT,COMPSENTIMENT,NEGSENTIMENT,POSCNT,NEGCNT,FOLLOWER_CNT,FRIENDS_CNT
2019-08-01 00:45:00,   0.127396,   0.120522,   0.070486,211,114,3385673,866966
2019-08-01 00:50:00,   0.088749,   0.035908,   0.077278,139,122,6719918,818430
2019-08-01 00:55:00,   0.096330,   0.012710,   0.090411,136,132,48750278,721000
2019-08-01 01:00:00,   0.081730,   0.009553,   0.086151,42,40,1687039,282204
2019-08-01 01:05:00,   0.108594,   0.089344,   0.071548,112,74,1853202,472439
2019-08-01 01:10:00,   0.099217,  -0.018235,   0.083957,15,19,305682,67534
2019-08-01 01:15:00,   0.104438,  -0.010552,   0.102530,71,84,4269729,422468
2019-08-01 01:20:00,   0.080718,  -0.106874,   0.117137,28,45,3944069,155597
2019-08-01 01:25:00,   0.098663,  -0.028621,   0.107510,60,76,1403372,370321
2019-08-01 01:30:00,   0.093833,  -0.009237,   0.096476,45,39,3114211,229160
2019-08-01 01:35:00,   0.114786,   0.052631,   0.074277,62,46,1297720,290510
2019-08-01 01:40:00,   0.097221,  -0.021328,   0.092686,30,32,1017530,188316
2019-08-01 01:45:00,   0.134158,   0.167866,   0.079263,22,7,38923,43972
2019-08-01 01:50:00,,,,0,0,0,0
2019-08-01 01:55:00,,,,0,0,0,0
2019-08-01 02:00:00,   0.113909,   0.106882,   0.061182,15,8,7133464,45565
2019-08-01 02:05:00,,,,0,0,0,0
2019-08-01 02:10:00,   0.108085,  -0.019179,   0.112191,17,15,2603760,65014
